V,Pa,Pr,Pc
10.0,1600.0,6.687581250000001,1593.31241875
10.1,1616.0,6.890221649456251,1609.1097783505438
10.2,1632.0,7.09691472315,1624.90308527685
10.299999999999999,1647.9999999999998,7.30770059656875,1640.692299403431
10.399999999999999,1663.9999999999998,7.522619395199998,1656.4773806047997
10.499999999999998,1679.9999999999998,7.741711244531247,1672.2582887554686
10.599999999999998,1695.9999999999995,7.965016270049997,1688.0349837299495
10.699999999999998,1711.9999999999995,8.192574597243746,1703.8074254027558
10.799999999999997,1727.9999999999995,8.424426351599996,1719.5755736483995
10.899999999999997,1743.9999999999995,8.660611658606243,1735.3393883413933
10.999999999999996,1759.9999999999995,8.901170643749994,1751.0988293562496
11.099999999999996,1775.9999999999993,9.146143432518741,1766.8538565674805
11.199999999999996,1791.9999999999993,9.39557015039999,1782.6044298495992
11.299999999999995,1807.9999999999993,9.64949092288124,1798.350509077118
11.399999999999995,1823.999999999999,9.90794587544999,1814.0920541245491
11.499999999999995,1839.999999999999,10.170975133593737,1829.8290248664055
11.599999999999994,1855.999999999999,10.438618822799986,1845.561381177199
11.699999999999994,1871.999999999999,10.710917068556236,1861.2890829314429
11.799999999999994,1887.999999999999,10.987909996349982,1877.012090003649
11.899999999999993,1903.9999999999989,11.269637731668734,1892.73036226833
11.999999999999993,1919.9999999999989,11.55614039999998,1908.4438595999989
12.099999999999993,1935.9999999999989,11.847458126831231,1924.1525418731676
12.199999999999992,1951.9999999999986,12.143631037649978,1939.8563689623486
12.299999999999992,1967.9999999999986,12.444699257943727,1955.555300742055
12.399999999999991,1983.9999999999986,12.750702913199977,1971.2492970867986
12.499999999999991,1999.9999999999986,13.061682128906224,1986.9383178710925
12.59999999999999,2015.9999999999986,13.377677030549973,2002.6223229694488
12.69999999999999,2031.9999999999984,13.698727743618722,2018.3012722563797
12.79999999999999,2047.9999999999984,14.024874393599971,2033.9751256063985
12.89999999999999,2063.999999999998,14.356157105981218,2049.643842894017
12.99999999999999,2079.999999999998,14.692616006249965,2065.3073839937483
13.099999999999989,2095.999999999998,15.034291219893715,2080.9657087801043
13.199999999999989,2111.999999999998,15.381222872399965,2096.618777127598
13.299999999999988,2127.999999999998,15.733451089256212,2112.266548910742
13.399999999999988,2143.999999999998,16.09101599594996,2127.9089840040483
13.499999999999988,2159.999999999998,16.453957717968706,2143.5460422820297
13.599999999999987,2175.999999999998,16.822316380799954,2159.1776836191984
13.699999999999987,2191.9999999999977,17.196132109931202,2174.8038678900666
13.799999999999986,2207.9999999999977,17.575445030849952,2190.4245549691477
13.899999999999986,2223.9999999999977,17.960295269043698,2206.039704730954
13.999999999999986,2239.9999999999977,18.35072294999995,2221.6492770499976
14.099999999999985,2255.9999999999977,18.746768199206194,2237.2532318007916
14.199999999999985,2271.9999999999977,19.148471142149944,2252.851528857848
14.299999999999985,2287.9999999999977,19.555871904318693,2268.444128095679
14.399999999999984,2303.9999999999973,19.969010611199938,2284.0309893887975
14.499999999999984,2319.9999999999973,20.387927388281188,2299.612072611716
14.599999999999984,2335.9999999999973,20.81266236104993,2315.187337638947
14.699999999999983,2351.9999999999973,21.243255654993686,2330.7567443450034
14.799999999999983,2367.9999999999973,21.67974739559993,2346.3202526043974
14.899999999999983,2383.9999999999973,22.122177708356176,2361.877822291641
14.999999999999982,2399.9999999999973,22.570586718749922,2377.4294132812474
15.099999999999982,2415.9999999999973,23.025014552268672,2392.9749854477286
15.199999999999982,2431.9999999999973,23.48550133439992,2408.5144986655973
15.299999999999981,2447.999999999997,23.95208719063117,2424.0479128093657
15.39999999999998,2463.999999999997,24.424812246449914,2439.5751877535467
15.49999999999998,2479.999999999997,24.903716627343663,2455.096283372653
15.59999999999998,2495.999999999997,25.38884045879991,2470.6111595411967
15.69999999999998,2511.999999999997,25.880223866306153,2486.1197761336907
15.79999999999998,2527.999999999997,26.377906975349905,2501.622093024647
15.899999999999979,2543.999999999997,26.88192991141865,2517.118070088578
15.999999999999979,2559.9999999999964,27.392332799999895,2532.6076671999963
16.09999999999998,2575.999999999997,27.90915576658115,2548.0908442334157
16.199999999999978,2591.9999999999964,28.432438936649888,2563.5675610633466
16.299999999999976,2607.9999999999964,28.962222435693626,2579.037777564303
16.399999999999977,2623.9999999999964,29.498546389199884,2594.5014536107965
16.49999999999998,2639.9999999999964,30.041450922656143,2609.95854907734
16.599999999999977,2655.9999999999964,30.590976161549875,2625.4090238384465
16.699999999999974,2671.999999999996,31.14716223136861,2640.852837768627
16.799999999999976,2687.9999999999964,31.710049257599874,2656.2899507423963
16.899999999999977,2703.9999999999964,32.279677365731125,2671.7203226342654
16.999999999999975,2719.999999999996,32.85608668124986,2687.143913318746
17.099999999999973,2735.9999999999955,33.43931732964359,2702.560682670352
17.199999999999974,2751.999999999996,34.02940943639985,2717.970590563596
17.299999999999976,2767.9999999999964,34.626403127006114,2733.37359687299
17.399999999999974,2783.999999999996,35.23033852694984,2748.769661473046
17.49999999999997,2799.9999999999955,35.841255761718585,2764.158744238277
17.599999999999973,2815.9999999999955,36.459194956799834,2779.5408050431956
17.699999999999974,2831.999999999996,37.0841962376811,2794.9158037623147
17.799999999999972,2847.9999999999955,37.71629972984983,2810.283700270146
17.89999999999997,2863.9999999999955,38.355545558793565,2825.644454441202
17.99999999999997,2879.9999999999955,39.00197384999982,2840.9980261499954
18.099999999999973,2895.9999999999955,39.65562472895608,2856.3443752710396
18.19999999999997,2911.9999999999955,40.316538321149814,2871.6834616788456
18.29999999999997,2927.999999999995,40.984754752068554,2887.0152452479265
