alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,dCL_da,CL_3D,CL/CD,CD2/CL3,CL3/CD2
-18.5,-0.9641,0.2006371701983677,0.08929,-0.0312,1.0,0.0229,-0.07360000000000033,-0.7605074726247694,-3.7904615175386707,-0.09151922432630481,-10.926666035046106
-18.25,-0.9825,0.20162508720766426,0.08195,-0.0351,1.0,0.0231,-0.0748000000000002,-0.7750218772470033,-3.8438762159034687,-0.08732674059914462,-11.45124612620427
-18.0,-1.0015,0.20266481867877004,0.07492,-0.0389,1.0,0.0233,-0.07780000000000009,-0.7900095776721363,-3.8981091184075995,-0.08330281154841353,-12.00439674738739
-17.75,-1.0214,0.20377515209819672,0.06812,-0.0427,1.0,0.0234,-0.0815999999999999,-0.8057072218016176,-3.95390317958569,-0.07939089223750086,-12.595903280800298
-17.5,-1.0423,0.20496480089890898,0.06149,-0.0465,1.0,0.0235,-0.08419999999999961,-0.8221936922692638,-4.011389705273245,-0.07558509237271603,-13.230122086362233
-17.25,-1.0635,0.20619614349428556,0.05512,-0.0502,1.0,0.0237,-0.08420000000000005,-0.8389168106383592,-4.06853783209388,-0.07201191918997506,-13.8865900429885
-17.0,-1.0844,0.20743433056558946,0.04908,-0.0539,1.0,0.0238,-0.0788000000000002,-0.8554032811060055,-4.123730526059341,-0.06874617400048753,-14.546264058170106
-16.75,-1.1029,0.20855043800311254,0.04345,-0.0574,1.0,0.0239,-0.06820000000000004,-0.869996568362056,-4.171636255921321,-0.06604950905551521,-15.140157955746364
-16.5,-1.1185,0.2095062605848895,0.0383,-0.0608,1.0,0.0241,-0.05520000000000014,-0.8823022592374282,-4.211340781770717,-0.06390602968333725,-15.647975706754607
-16.25,-1.1305,0.2102506438866245,0.03371,-0.0639,1.0,0.0242,-0.04699999999999971,-0.891768175295407,-4.241452767090139,-0.06233310491514975,-16.042839537052405
-16.0,-1.142,0.21097146525581517,0.02938,-0.067,1.0,0.0244,-0.038599999999999746,-0.900839678184303,-4.269959812299652,-0.06088424404182289,-16.424610598976564
-15.75,-1.1498,0.21146452238035746,0.02572,-0.0697,1.0,0.0246,-0.023400000000000087,-0.9069925236219892,-4.289100192374577,-0.059932709211361145,-16.685379539132114
-15.5,-1.1537,0.2117123095097717,0.02273,-0.0717,1.0,0.0249,-0.009400000000000297,-0.9100689463408322,-4.29861139604085,-0.05946608305477037,-16.8163085347149
-15.25,-1.1545,0.21176324134724211,0.02031,-0.073,1.0,0.0252,0.0015999999999998238,-0.9107000074113643,-4.300557554830914,-0.059371104918856665,-16.84321020076541
-15.0,-1.1529,0.21166141297727484,0.01836,-0.0738,1.0,0.0255,0.009800000000000253,-0.9094378852703005,-4.296663583966261,-0.05956131202317153,-16.78942195918994
-14.75,-1.1496,0.2114518379653285,0.01676,-0.074,1.0,0.0259,0.015600000000000058,-0.9068347583543562,-4.288611378743602,-0.05995680126978168,-16.67867495966636
-14.5,-1.1451,0.21116702198670054,0.01543,-0.0737,1.0,0.0263,0.019400000000000084,-0.9032850398326143,-4.277585729695539,-0.060503115431223865,-16.52807451108426
-14.25,-1.1399,0.21083929253690004,0.01431,-0.0728,1.0,0.0267,0.021999999999999797,-0.8991831428741568,-4.2647797384198975,-0.061144673603072595,-16.354654315298344
-14.0,-1.1341,0.21047550788285962,0.01339,-0.0715,1.0,0.0271,0.023800000000000043,-0.8946079501128006,-4.250413547455106,-0.06187352692010488,-16.16200093605889
-13.75,-1.128,0.21009490895934493,0.01262,-0.0698,1.0,0.0275,0.021800000000000264,-0.8897961094499945,-4.235210238350789,-0.06265555045866887,-15.960277943127423
-13.5,-1.1232,0.20979686437261913,0.01198,-0.0673,1.0,0.0279,0.008199999999999985,-0.8860097430268032,-4.223179148441256,-0.06328233463547232,-15.802198287410517
-13.25,-1.1239,0.20984025004781293,0.01147,-0.0636,1.0,0.0283,-0.002000000000000224,-0.8865619214635185,-4.224937404818722,-0.06319029283537447,-15.825215474238021
-13.0,-1.1242,0.20985885218321343,0.01109,-0.0595,1.0,0.0287,0.009799999999999809,-0.8867985693649681,-4.225690554100453,-0.06315091317205146,-15.835083766335266
-12.75,-1.119,0.20953711795923424,0.0107,-0.0562,1.0,0.0291,0.02320000000000011,-0.8826966724065106,-4.212602907797179,-0.06383920414564101,-15.664355678974747
-12.5,-1.1126,0.20914318506434126,0.01036,-0.053,1.0,0.0297,0.028000000000000025,-0.8776481838422554,-4.1963986709500185,-0.06470324469399841,-15.455175466536623
-12.25,-1.105,0.20867832447758236,0.01004,-0.0499,1.0,0.0303,0.05679999999999996,-0.8716531036722022,-4.177017933483748,-0.06575422136760203,-15.208149061783478
-12.0,-1.0842,0.20742236769595748,0.00959,-0.0493,0.9986,0.0311,0.09620000000000006,-0.8552455158383726,-4.123207758827645,-0.06877629195626007,-14.539894076231588
-11.75,-1.0569,0.20581014318563756,0.00907,-0.05,0.9962,0.032,0.11000000000000032,-0.833710556806471,-4.050872050822476,-0.07309499611180442,-13.680827049644043
-11.5,-1.0292,0.20421631753130012,0.00857,-0.0509,0.9937,0.0329,0.11419999999999986,-0.8118600672393036,-3.975490680928914,-0.07793586143871828,-12.831063666195693
-11.25,-0.9998,0.2025709788865292,0.00813,-0.0519,0.9917,0.0339,0.11539999999999973,-0.7886685728972559,-3.893294968668889,-0.08365094425852326,-11.95443767986049
-11.0,-0.9715,0.20103223947209686,0.00772,-0.0526,0.9892,0.035,0.11319999999999997,-0.7663447875271896,-3.8120491993701227,-0.08979637355527688,-11.136307184882247
-10.75,-0.9432,0.19953768037058336,0.00733,-0.0532,0.986,0.0361,0.11480000000000001,-0.7440210021571232,-3.728724323021697,-0.09667056427731993,-10.34441049843558
-10.5,-0.9141,0.19804694358409708,0.00692,-0.054,0.9832,0.0374,0.12060000000000004,-0.721066155716525,-3.640885048096373,-0.10461909369075487,-9.558484639103401
-10.25,-0.8829,0.19650051954569497,0.00656,-0.0552,0.9811,0.0389,0.127,-0.6964547739657804,-3.5442897330550016,-0.11430063600097122,-8.748857705319356
-10.0,-0.8506,0.19495614622978005,0.00621,-0.0565,0.9795,0.0405,0.11699999999999999,-0.6709756832430546,-3.441674941872447,-0.12582111198912152,-7.947791783039239
-9.75,-0.8244,0.19374570969514834,0.00588,-0.0566,0.9747,0.0419,0.11060000000000003,-0.6503084331831345,-3.3565049476779154,-0.13649163328378708,-7.3264563983995
-9.5,-0.7953,0.1924456793429856,0.00557,-0.0571,0.9709,0.0436,0.1200000000000001,-0.6273535867425362,-3.259899566902916,-0.14999582609454695,-6.666852178737757
-9.25,-0.7644,0.19111637178986468,0.00528,-0.058,0.9679,0.0455,0.11880000000000002,-0.602978852893241,-3.155035056631492,-0.1666055790577561,-6.0021999602626535
