alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,dCL_da,CL_3D,CL/CD,CD2/CL3,CL3/CD2
-18.5,-1.1411,0.21034598167723728,0.0612,-0.0457,1.0,0.0188,-0.15840000000000032,-0.892973285198878,-4.245259538967992,-0.06213739475612393,-16.09336863775489
-18.25,-1.1807,0.21284179805367248,0.05247,-0.0508,1.0,0.0188,-0.15300000000000002,-0.9239624553801729,-4.341076159989855,-0.05743159335805166,-17.412019091401447
-18.0,-1.2176,0.21524407188745137,0.04446,-0.0558,1.0,0.0187,-0.13159999999999972,-0.9528387275945612,-4.426782671593341,-0.05355551463948793,-18.672213435564167
-17.75,-1.2465,0.21717714735255036,0.0377,-0.0603,1.0,0.0188,-0.09960000000000013,-0.975454561388486,-4.491515674091623,-0.050816777001378655,-19.67854041536066
-17.5,-1.2674,0.21860336866295238,0.03215,-0.0643,1.0,0.0189,-0.06899999999999995,-0.9918099567619473,-4.53702961133752,-0.04898107457247472,-20.416048621398712
-17.25,-1.281,0.21954417263438367,0.02772,-0.0676,1.0,0.019,-0.04339999999999966,-1.0024527020767353,-4.566063813254396,-0.04784671829444368,-20.900074982073065
-17.0,-1.2891,0.22010927571880176,0.02419,-0.0702,1.0,0.0192,-0.023600000000000065,-1.0087913959774546,-4.5831389553351904,-0.04719245616085939,-21.18982738663606
-16.75,-1.2928,0.22036859438481604,0.02135,-0.0721,1.0,0.0193,-0.008399999999999963,-1.011686848746919,-4.590884883443386,-0.04689873078292828,-21.32253865522545
-16.5,-1.2933,0.2204036944526573,0.01906,-0.0734,1.0,0.0195,0.0030000000000001137,-1.0120781261481981,-4.591929044844538,-0.04685928137382882,-21.340489454422276
-16.25,-1.2913,0.2202633756168156,0.01721,-0.0741,1.0,0.0198,0.011799999999999589,-1.0105130165430822,-4.587748706353415,-0.04701742549704948,-21.26871025855624
-16.0,-1.2874,0.21999037849738867,0.0157,-0.0744,1.0,0.02,0.018799999999999706,-1.0074610528131063,-4.579568705206191,-0.047328482112621764,-21.1289260792354
-15.75,-1.2819,0.21960678596525515,0.01447,-0.0741,1.0,0.0203,0.0246000000000004,-1.0031570013990374,-4.567969049725771,-0.04777324986988339,-20.93221630773768
-15.5,-1.2751,0.2191347965297368,0.01344,-0.0735,1.0,0.0205,0.029199999999999893,-0.9978356287416433,-4.553524335448186,-0.048333213342285374,-20.68970653612902
-15.25,-1.2673,0.21859648817558086,0.01259,-0.0726,1.0,0.0208,0.032200000000000006,-0.9917317012816914,-4.536814427160942,-0.04898958645474275,-20.412501357279545
-15.0,-1.259,0.21802730028530934,0.01187,-0.0712,1.0,0.021,0.029400000000000315,-0.9852364964204603,-4.518867569020876,-0.04970502320250117,-20.118690940469772
-14.75,-1.2526,0.21759096223612565,0.01117,-0.0694,1.0,0.0213,0.026599999999999735,-0.9802281456840894,-4.504912040511885,-0.050268994708013395,-19.892977884449113
-14.5,-1.2457,0.2171230263895101,0.01064,-0.0672,1.0,0.0217,0.023600000000000065,-0.9748285175464396,-4.489751887474321,-0.050889371952471285,-19.650468489451224
-14.25,-1.2408,0.2167922936556112,0.01024,-0.0641,1.0,0.022,0.01540000000000008,-0.9709939990139056,-4.47891381488123,-0.0513378932791608,-19.478789177465575
-14.0,-1.238,0.21660388877191616,0.00994,-0.0603,1.0,0.0223,0.02079999999999993,-0.9688028455667435,-4.472693685508539,-0.05159721746072395,-19.380890079221903
-13.75,-1.2304,0.21609464964219072,0.00964,-0.0573,1.0,0.0227,0.03080000000000016,-0.9628554290673029,-4.4557115627878705,-0.05231241597859776,-19.115920786551392
-13.5,-1.2226,0.2155752701610923,0.00937,-0.0541,1.0,0.0231,0.05679999999999996,-0.9567515016073509,-4.438131984677102,-0.05306405330083119,-18.845149169642042
-13.25,-1.202,0.21421945664695752,0.00899,-0.0535,0.9989,0.0236,0.09439999999999982,-0.9406308726746572,-4.390968436750615,-0.05513915935884176,-18.13593118988395
-13.0,-1.1754,0.2125028273022271,0.00858,-0.054,0.997,0.0241,0.10599999999999987,-0.9198149149266157,-4.328483185865714,-0.05802672807582415,-17.233437644343642
-12.75,-1.149,0.21083708647316174,0.00812,-0.0545,0.995,0.0248,0.10820000000000007,-0.8991554681390858,-4.264693101104595,-0.061149039961683437,-16.353486508154656
-12.5,-1.1213,0.20912999947161082,0.00771,-0.0552,0.9932,0.0254,0.11319999999999997,-0.8774787001082305,-4.195852829939625,-0.06473258094614256,-15.448171313175338
-12.25,-1.0924,0.20739336169023437,0.00732,-0.0561,0.9917,0.0262,0.11419999999999986,-0.8548628663143057,-4.121939387776263,-0.06884942933262722,-14.524448636585976
