0,1,2,3,4,5,6
4.5,0.8022,0.0097,0.00414,-0.062,0.4357,1.0
4.75,0.8231,0.00981,0.00423,-0.0607,0.4245,1.0
5.0,0.8434,0.00998,0.00433,-0.0592,0.413,1.0
5.25,0.8641,0.01011,0.00445,-0.0579,0.4005,1.0
5.5,0.8848,0.01027,0.00457,-0.0565,0.3879,1.0
5.75,0.905,0.01045,0.00471,-0.055,0.3749,1.0
6.0,0.9249,0.01067,0.00487,-0.0534,0.3612,1.0
6.25,0.9451,0.01089,0.00504,-0.0519,0.3467,1.0
6.5,0.9654,0.01112,0.00522,-0.0505,0.3319,1.0
6.75,0.9854,0.01138,0.00543,-0.0489,0.3167,1.0
7.0,1.0052,0.01166,0.00565,-0.0474,0.3012,1.0
7.25,1.0251,0.01197,0.0059,-0.046,0.2853,1.0
7.5,1.0449,0.01231,0.00617,-0.0445,0.269,1.0
7.75,1.0648,0.01268,0.00647,-0.0431,0.2525,1.0
8.0,1.0844,0.01307,0.0068,-0.0417,0.2358,1.0
8.25,1.1037,0.0135,0.00714,-0.0403,0.2194,1.0
8.5,1.1226,0.01395,0.00752,-0.0388,0.2031,1.0
8.75,1.141,0.01442,0.00793,-0.0373,0.1876,1.0
9.0,1.1588,0.01492,0.00836,-0.0357,0.1727,1.0
9.25,1.1758,0.01544,0.00882,-0.034,0.1588,1.0
9.5,1.191,0.01598,0.0093,-0.032,0.1462,1.0
9.75,1.2055,0.01654,0.00982,-0.0299,0.1349,1.0
10.0,1.2196,0.01716,0.01039,-0.0278,0.1244,1.0
10.5,1.2478,0.01848,0.01165,-0.024,0.1064,1.0
10.75,1.2616,0.01919,0.01235,-0.0221,0.0991,1.0
11.25,1.2874,0.02077,0.01392,-0.0185,0.0868,1.0
11.5,1.2979,0.02175,0.01488,-0.0166,0.0817,1.0
11.75,1.311,0.02259,0.01576,-0.0151,0.0772,1.0
12.0,1.3192,0.02379,0.01694,-0.0132,0.0733,1.0
12.25,1.3322,0.02471,0.01792,-0.0119,0.0698,1.0
12.5,1.3402,0.02601,0.01922,-0.0103,0.0665,1.0
12.75,1.3495,0.02727,0.02054,-0.0089,0.0637,1.0
13.0,1.3592,0.02856,0.02187,-0.0077,0.0611,1.0
13.25,1.3634,0.03031,0.02364,-0.0063,0.0588,1.0
13.5,1.371,0.03188,0.02528,-0.0053,0.0568,1.0
13.75,1.3791,0.03346,0.02693,-0.0044,0.0547,1.0
14.0,1.3832,0.03545,0.02895,-0.0036,0.0529,1.0
14.25,1.383,0.03789,0.03143,-0.0027,0.0513,1.0
14.5,1.3902,0.03974,0.03338,-0.0023,0.0498,1.0
14.75,1.3946,0.04189,0.03561,-0.0019,0.0484,1.0
15.0,1.396,0.04441,0.03818,-0.0016,0.0472,1.0
15.25,1.3924,0.04754,0.04135,-0.0014,0.046,1.0
15.5,1.3932,0.05028,0.04418,-0.0013,0.045,1.0
15.75,1.3956,0.05292,0.04692,-0.0014,0.0439,1.0
16.0,1.3965,0.05579,0.04987,-0.0016,0.0429,1.0
16.25,1.3959,0.05889,0.05304,-0.002,0.0419,1.0
16.5,1.392,0.06241,0.05661,-0.0025,0.0411,1.0
16.75,1.3853,0.06622,0.06046,-0.0029,0.0402,1.0
17.0,1.3857,0.0694,0.06376,-0.0036,0.0395,1.0
17.25,1.3845,0.0728,0.06726,-0.0043,0.0387,1.0
17.5,1.3824,0.07632,0.07087,-0.0051,0.038,1.0
17.75,1.3797,0.07994,0.07456,-0.006,0.0373,1.0
18.0,1.3761,0.08372,0.0784,-0.007,0.0367,1.0
18.25,1.3716,0.08759,0.08231,-0.008,0.0361,1.0
18.5,1.3676,0.09122,0.08597,-0.0087,0.0354,1.0
18.75,1.3645,0.09515,0.09003,-0.01,0.0349,1.0
19.0,1.3611,0.09912,0.0941,-0.0114,0.0343,1.0
19.25,1.3579,0.10305,0.09813,-0.0128,0.0337,1.0
