0,1,2,3,4,5,6
-18.75,-1.1292,0.08984,0.0865,-0.0435,1.0,0.0214
-18.5,-1.1564,0.08213,0.07868,-0.0476,1.0,0.0215
-18.25,-1.1854,0.07431,0.07074,-0.0518,1.0,0.0216
-18.0,-1.2136,0.06673,0.06302,-0.0559,1.0,0.0216
-17.75,-1.2385,0.05956,0.05571,-0.0599,1.0,0.0217
-17.5,-1.2593,0.05299,0.04902,-0.0637,1.0,0.0218
-17.25,-1.274,0.04738,0.04328,-0.067,1.0,0.0219
-17.0,-1.2831,0.04271,0.0385,-0.0697,1.0,0.0221
-16.75,-1.2871,0.03892,0.03461,-0.0718,1.0,0.0223
-16.5,-1.2872,0.03584,0.03144,-0.0732,1.0,0.0226
-16.25,-1.2845,0.03328,0.0288,-0.0741,1.0,0.0229
-16.0,-1.2803,0.03111,0.02654,-0.0746,1.0,0.0232
-15.75,-1.2744,0.02928,0.02462,-0.0746,1.0,0.0235
-15.5,-1.2675,0.02771,0.02297,-0.0741,1.0,0.0238
-15.25,-1.2592,0.02639,0.02157,-0.0734,1.0,0.0241
-15.0,-1.2495,0.0253,0.02041,-0.0723,1.0,0.0243
-14.75,-1.2458,0.02399,0.01902,-0.0705,1.0,0.0246
-14.5,-1.2442,0.02281,0.01778,-0.0678,1.0,0.0251
-14.25,-1.2418,0.02201,0.01695,-0.0644,1.0,0.0254
-14.0,-1.2413,0.02145,0.01634,-0.0602,1.0,0.0258
-13.75,-1.2349,0.02091,0.01577,-0.0569,1.0,0.0262
-13.5,-1.2282,0.02044,0.01526,-0.0535,1.0,0.0266
-13.25,-1.2209,0.01999,0.01477,-0.0502,1.0,0.027
-13.0,-1.2124,0.01957,0.0143,-0.047,1.0,0.0274
-12.75,-1.1982,0.01918,0.01386,-0.0448,0.9998,0.0278
-12.5,-1.1706,0.01839,0.01302,-0.0457,0.9984,0.0287
-12.25,-1.1414,0.01776,0.01238,-0.0466,0.9969,0.0296
-12.0,-1.1106,0.01726,0.01186,-0.0478,0.9955,0.0304
-11.75,-1.0788,0.0168,0.01136,-0.049,0.9944,0.0313
-11.5,-1.046,0.01642,0.01093,-0.0504,0.9934,0.0319
-11.25,-1.0186,0.01572,0.01022,-0.0509,0.9912,0.0332
-11.0,-0.9885,0.01526,0.00975,-0.0518,0.989,0.0343
-10.75,-0.9566,0.01488,0.00935,-0.0529,0.9872,0.0355
-10.5,-0.9239,0.01448,0.00891,-0.0542,0.9856,0.0367
-10.25,-0.8914,0.01396,0.0084,-0.0555,0.9843,0.0383
-10.0,-0.8571,0.01358,0.00801,-0.0571,0.9833,0.0398
-9.75,-0.8226,0.01327,0.00767,-0.0587,0.9822,0.0411
