0,1,2,3,4,5,6
-18.75,-1.1583,0.08562,0.08232,-0.0456,1.0,0.0207
-18.5,-1.189,0.07747,0.07404,-0.05,1.0,0.0207
-18.25,-1.2194,0.06953,0.06596,-0.0542,1.0,0.0208
-18.0,-1.2463,0.06207,0.05836,-0.0583,1.0,0.0208
-17.75,-1.2672,0.05547,0.05162,-0.0621,1.0,0.0208
-17.5,-1.2813,0.04987,0.04588,-0.0654,1.0,0.0209
-17.25,-1.2899,0.04518,0.04107,-0.0681,1.0,0.021
-17.0,-1.2994,0.04055,0.03631,-0.0707,1.0,0.0212
-16.75,-1.3105,0.03606,0.03171,-0.073,1.0,0.0214
-16.5,-1.3149,0.03274,0.02828,-0.0742,1.0,0.0217
-16.25,-1.3139,0.0303,0.02576,-0.0747,1.0,0.022
-16.0,-1.3093,0.02842,0.02382,-0.0745,1.0,0.0223
-15.75,-1.3022,0.02692,0.02225,-0.074,1.0,0.0226
-15.5,-1.294,0.02564,0.02092,-0.0731,1.0,0.023
-15.25,-1.285,0.02454,0.01975,-0.0719,1.0,0.0233
-15.0,-1.2757,0.02358,0.01873,-0.0704,1.0,0.0236
-14.75,-1.2661,0.02277,0.01785,-0.0686,1.0,0.0239
-14.5,-1.2572,0.0221,0.01712,-0.0663,1.0,0.0242
-14.25,-1.2519,0.02158,0.01655,-0.0629,1.0,0.0244
-14.0,-1.2561,0.02076,0.01567,-0.058,1.0,0.0248
-13.75,-1.2528,0.02013,0.01501,-0.0542,1.0,0.0253
-13.5,-1.2468,0.01962,0.01448,-0.0507,1.0,0.0257
-13.25,-1.239,0.01918,0.014,-0.0474,1.0,0.0261
-13.0,-1.2233,0.01872,0.01351,-0.0456,0.9997,0.0266
-12.75,-1.1937,0.0182,0.01295,-0.0465,0.9985,0.0273
-12.5,-1.1633,0.01777,0.01247,-0.0475,0.9972,0.0279
-12.25,-1.1346,0.01706,0.01172,-0.0485,0.9957,0.0288
-12.0,-1.104,0.0165,0.01116,-0.0496,0.9946,0.0297
-11.75,-1.0722,0.01605,0.01068,-0.0509,0.9936,0.0306
-11.5,-1.0415,0.01564,0.01025,-0.0518,0.9922,0.0314
-11.25,-1.0121,0.01521,0.00978,-0.0524,0.9899,0.0322
-11.0,-0.9823,0.01465,0.00921,-0.0533,0.9879,0.0335
-10.75,-0.9503,0.01424,0.0088,-0.0545,0.9863,0.0347
-10.5,-0.917,0.01391,0.00844,-0.0558,0.985,0.0359
-10.25,-0.8839,0.01344,0.00796,-0.0573,0.9839,0.0374
-10.0,-0.8508,0.01303,0.00755,-0.0586,0.9827,0.039
-9.75,-0.8207,0.01272,0.00723,-0.0592,0.9799,0.0404
-9.5,-0.7929,0.01237,0.00686,-0.0593,0.9756,0.0419
-9.25,-0.764,0.012,0.0065,-0.0597,0.9719,0.0439
-9.0,-0.7342,0.01173,0.00622,-0.0601,0.9686,0.0458
-8.75,-0.7105,0.01142,0.0059,-0.0593,0.9617,0.0478
-8.5,-0.6843,0.01112,0.0056,-0.0589,0.956,0.0501
-8.25,-0.6586,0.01091,0.00537,-0.0584,0.9494,0.052
-8.0,-0.6335,0.0106,0.00506,-0.0578,0.9423,0.0551
-7.75,-0.6072,0.01038,0.00483,-0.0574,0.9357,0.0578
-7.5,-0.5813,0.01013,0.00458,-0.057,0.9283,0.0612
-7.25,-0.5547,0.00992,0.00435,-0.0567,0.9217,0.0646
-7.0,-0.5282,0.00969,0.00413,-0.0563,0.9139,0.0686
-6.75,-0.5015,0.0095,0.00392,-0.056,0.9061,0.0728
-6.5,-0.4747,0.00927,0.00372,-0.0558,0.8978,0.078
-6.0,-0.4205,0.0089,0.00334,-0.0553,0.8807,0.0895
-5.75,-0.3935,0.00873,0.00316,-0.055,0.8711,0.0961
-5.5,-0.366,0.00858,0.00301,-0.0549,0.8614,0.1026
-5.25,-0.339,0.0084,0.00284,-0.0546,0.8512,0.1119
-5.0,-0.3115,0.00824,0.0027,-0.0545,0.8405,0.121
-4.75,-0.2841,0.00811,0.00256,-0.0543,0.8296,0.1306
-4.5,-0.2566,0.00798,0.00243,-0.0541,0.8179,0.1409
-4.25,-0.2292,0.00783,0.00231,-0.0539,0.8063,0.1536
-4.0,-0.2018,0.00771,0.00219,-0.0537,0.7941,0.1667
-3.75,-0.1743,0.00759,0.00209,-0.0536,0.7812,0.1804
-3.5,-0.1467,0.00748,0.00199,-0.0534,0.7684,0.1952
-3.25,-0.1192,0.00739,0.00191,-0.0533,0.7552,0.2108
-3.0,-0.0918,0.0073,0.00183,-0.0531,0.7415,0.2275
-2.75,-0.0642,0.00721,0.00176,-0.053,0.7274,0.2453
-2.5,-0.0365,0.00712,0.00169,-0.0529,0.7138,0.264
-2.25,-0.009,0.00705,0.00164,-0.0527,0.6997,0.2837
-2.0,0.0185,0.007,0.00159,-0.0525,0.6852,0.3044
-1.75,0.0461,0.00694,0.00155,-0.0524,0.6705,0.3263
-1.5,0.0737,0.00686,0.00151,-0.0523,0.6563,0.3499
-1.25,0.1012,0.00679,0.00148,-0.0522,0.6423,0.3759
-1.0,0.1285,0.00673,0.00146,-0.052,0.6282,0.4053
-0.75,0.1556,0.00666,0.00144,-0.0518,0.6139,0.441
-0.5,0.1829,0.00657,0.00144,-0.0516,0.6003,0.4797
-0.25,0.2102,0.00649,0.00144,-0.0515,0.5872,0.5183
0.25,0.2646,0.00641,0.00147,-0.0511,0.561,0.5894
0.5,0.292,0.00636,0.0015,-0.0509,0.5489,0.6227
0.75,0.3193,0.00635,0.00153,-0.0507,0.5371,0.6545
1.0,0.3465,0.00634,0.00157,-0.0504,0.525,0.6864
1.25,0.3739,0.00631,0.00161,-0.0502,0.5145,0.7175
1.75,0.428,0.00631,0.00172,-0.0496,0.493,0.7785
2.0,0.4549,0.00633,0.00179,-0.0493,0.483,0.8081
2.25,0.4816,0.00634,0.00186,-0.0489,0.4727,0.8365
2.5,0.5084,0.00638,0.00194,-0.0485,0.4631,0.863
2.75,0.5345,0.00644,0.00203,-0.0479,0.453,0.8878
3.0,0.5609,0.00649,0.00212,-0.0474,0.4437,0.9099
3.5,0.6136,0.00669,0.00232,-0.0464,0.4234,0.9453
3.75,0.641,0.00683,0.00242,-0.0461,0.4126,0.9585
4.0,0.6697,0.00696,0.00252,-0.0461,0.401,0.9695
4.25,0.7012,0.00711,0.00263,-0.0468,0.3888,0.9775
4.5,0.7338,0.00729,0.00275,-0.0479,0.3752,0.9834
4.75,0.7704,0.00751,0.00289,-0.0498,0.36,0.9873
5.0,0.807,0.00774,0.00305,-0.0517,0.3439,0.9914
5.25,0.844,0.00797,0.00321,-0.0538,0.3272,0.9941
5.5,0.8805,0.00821,0.00336,-0.0558,0.3102,0.996
5.75,0.9151,0.00846,0.00353,-0.0574,0.2928,0.9979
6.0,0.9493,0.00873,0.00372,-0.0589,0.2751,0.9997
6.25,0.9717,0.00897,0.00388,-0.0579,0.2594,1.0
6.5,0.9907,0.00922,0.00405,-0.0562,0.2444,1.0
6.75,1.0097,0.00948,0.00424,-0.0545,0.229,1.0
7.0,1.0289,0.00975,0.00444,-0.0528,0.2143,1.0
7.25,1.0482,0.01003,0.00465,-0.0512,0.1996,1.0
7.5,1.0677,0.01034,0.00488,-0.0496,0.1853,1.0
7.75,1.0873,0.01065,0.00513,-0.048,0.1715,1.0
8.0,1.1075,0.01098,0.00539,-0.0466,0.1582,1.0
8.25,1.128,0.01133,0.00567,-0.0453,0.1456,1.0
8.5,1.1487,0.01169,0.00596,-0.0441,0.1339,1.0
8.75,1.1693,0.01207,0.00628,-0.0429,0.1229,1.0
9.0,1.1897,0.01246,0.00662,-0.0417,0.1126,1.0
9.5,1.2304,0.01325,0.00731,-0.0392,0.0955,1.0
9.75,1.2503,0.01365,0.00768,-0.038,0.0883,1.0
10.0,1.2689,0.01408,0.00807,-0.0365,0.0816,1.0
10.25,1.2865,0.01448,0.00846,-0.0348,0.0763,1.0
10.5,1.3036,0.01491,0.00887,-0.0331,0.0714,1.0
10.75,1.3198,0.0154,0.00933,-0.0313,0.0665,1.0
11.0,1.3373,0.01585,0.00978,-0.0297,0.0628,1.0
11.25,1.353,0.0164,0.01032,-0.028,0.0589,1.0
11.5,1.3702,0.01689,0.01082,-0.0265,0.056,1.0
11.75,1.3854,0.0175,0.01142,-0.0249,0.0529,1.0
12.0,1.4013,0.01808,0.01201,-0.0234,0.0503,1.0
12.25,1.4165,0.01871,0.01266,-0.0219,0.0479,1.0
12.5,1.4299,0.01948,0.01342,-0.0202,0.0455,1.0
12.75,1.4455,0.02012,0.01411,-0.0189,0.0439,1.0
13.0,1.4588,0.02093,0.01493,-0.0174,0.0421,1.0
13.25,1.4702,0.02189,0.0159,-0.0158,0.0402,1.0
13.5,1.4846,0.02268,0.01674,-0.0146,0.039,1.0
13.75,1.4966,0.02366,0.01774,-0.0133,0.0375,1.0
14.0,1.5061,0.02484,0.01894,-0.0118,0.0361,1.0
14.25,1.5169,0.02598,0.02013,-0.0106,0.035,1.0
14.5,1.5283,0.02712,0.02132,-0.0096,0.034,1.0
14.75,1.5376,0.02845,0.02269,-0.0085,0.033,1.0
15.0,1.5448,0.03001,0.02428,-0.0075,0.0321,1.0
15.25,1.5494,0.03185,0.02617,-0.0064,0.0311,1.0
15.5,1.5587,0.03332,0.02771,-0.0057,0.0304,1.0
15.75,1.5661,0.03501,0.02945,-0.0051,0.0297,1.0
16.0,1.5713,0.03695,0.03145,-0.0045,0.0289,1.0
16.25,1.5744,0.03918,0.03373,-0.004,0.0282,1.0
16.5,1.5738,0.04184,0.03645,-0.0036,0.0275,1.0
16.75,1.5749,0.04443,0.03911,-0.0034,0.027,1.0
17.0,1.5784,0.04683,0.04159,-0.0033,0.0266,1.0
17.25,1.5803,0.04946,0.0443,-0.0034,0.0261,1.0
17.5,1.5802,0.05236,0.04727,-0.0035,0.0256,1.0
17.75,1.5783,0.05553,0.05051,-0.0038,0.0252,1.0
18.0,1.5744,0.05901,0.05407,-0.0043,0.0248,1.0
18.25,1.568,0.06289,0.05802,-0.0049,0.0244,1.0
18.5,1.5579,0.06729,0.0625,-0.0058,0.0239,1.0
18.75,1.546,0.07201,0.06732,-0.0068,0.0235,1.0
19.0,1.5419,0.07579,0.07119,-0.0077,0.0233,1.0
