0,1,2,3,4,5,6
-18.75,-0.372,0.17898,0.17609,-0.0132,1.0,0.0392
-18.5,-0.3908,0.17483,0.17194,-0.0173,1.0,0.0411
-18.25,-0.3764,0.17269,0.16979,-0.0171,1.0,0.0414
-18.0,-0.3671,0.17097,0.16807,-0.0174,1.0,0.0418
-17.75,-0.3602,0.16921,0.16631,-0.0181,1.0,0.0425
-17.5,-0.3552,0.16724,0.16433,-0.019,1.0,0.0436
-17.25,-0.5581,0.18988,0.18666,0.0018,1.0,0.042
-17.0,-0.5486,0.18731,0.18408,0.0006,1.0,0.0428
-16.75,-0.5409,0.18421,0.18099,-0.001,1.0,0.044
-16.5,-0.9604,0.07902,0.07487,-0.0577,1.0,0.0353
-16.25,-0.9915,0.07042,0.06604,-0.0635,1.0,0.0353
-16.0,-1.0147,0.06346,0.05886,-0.0682,1.0,0.0355
-15.75,-1.033,0.05762,0.0528,-0.072,1.0,0.0357
-15.5,-1.0479,0.05263,0.04758,-0.075,1.0,0.0359
-15.25,-1.0601,0.0484,0.04312,-0.0772,1.0,0.0362
-15.0,-1.0651,0.04508,0.03968,-0.0779,1.0,0.0366
-14.75,-1.0601,0.04295,0.03754,-0.078,1.0,0.0371
-14.5,-1.0558,0.04097,0.03552,-0.0781,1.0,0.0376
-14.25,-1.0526,0.03903,0.03351,-0.0779,1.0,0.0381
-14.0,-1.0504,0.03716,0.03154,-0.0773,1.0,0.0386
-13.75,-1.0489,0.0354,0.02966,-0.0762,1.0,0.0392
-13.5,-1.0472,0.03383,0.02795,-0.0746,1.0,0.0398
-13.25,-1.0464,0.03246,0.02642,-0.0723,1.0,0.0403
-13.0,-1.0479,0.03136,0.02516,-0.069,1.0,0.0408
-12.75,-1.0483,0.03012,0.02385,-0.0655,1.0,0.0414
-12.5,-1.0436,0.02916,0.02291,-0.0624,1.0,0.0421
-12.25,-1.0375,0.02842,0.02218,-0.0594,1.0,0.0428
-12.0,-1.0316,0.02775,0.02147,-0.0563,1.0,0.0436
-11.75,-1.0258,0.02706,0.0207,-0.0531,1.0,0.0445
-11.5,-1.0194,0.02638,0.0199,-0.0498,1.0,0.0454
-11.25,-1.0121,0.02577,0.01915,-0.0466,1.0,0.0462
-11.0,-1.0042,0.0247,0.01809,-0.0438,1.0,0.0472
-10.75,-0.9941,0.02406,0.01747,-0.0411,1.0,0.0481
-10.5,-0.9831,0.0235,0.01689,-0.0385,1.0,0.0492
-10.25,-0.9711,0.02297,0.01629,-0.0361,1.0,0.0505
-10.0,-0.9582,0.02251,0.01569,-0.0337,1.0,0.0518
-9.75,-0.9428,0.02164,0.01485,-0.0321,0.9996,0.0533
-9.5,-0.909,0.02102,0.01423,-0.0339,0.997,0.0554
-9.25,-0.8737,0.02046,0.01358,-0.0359,0.9945,0.0577
-9.0,-0.8409,0.01964,0.01276,-0.0375,0.9918,0.0601
-8.75,-0.8075,0.01913,0.01224,-0.0391,0.9882,0.0629
-8.5,-0.7718,0.01862,0.01165,-0.041,0.9852,0.0659
-8.25,-0.7361,0.01792,0.011,-0.0431,0.9828,0.0693
-8.0,-0.7016,0.01753,0.01055,-0.0446,0.9791,0.073
-7.75,-0.6694,0.01686,0.00993,-0.046,0.9747,0.0771
-7.5,-0.6316,0.01647,0.00949,-0.0481,0.9718,0.0817
-7.25,-0.5936,0.01584,0.00893,-0.0506,0.9697,0.0873
-7.0,-0.5612,0.01543,0.00848,-0.0516,0.9647,0.093
-6.75,-0.5261,0.01493,0.00804,-0.0533,0.9604,0.0998
-6.5,-0.4877,0.01441,0.00755,-0.0556,0.9578,0.1078
-6.25,-0.4491,0.01396,0.00711,-0.0579,0.9555,0.1169
-6.0,-0.4196,0.01361,0.00679,-0.0582,0.9491,0.126
-5.75,-0.3877,0.01316,0.00641,-0.0591,0.9439,0.137
-5.5,-0.3537,0.01274,0.00604,-0.0603,0.9401,0.1495
-5.25,-0.3271,0.01241,0.00575,-0.06,0.9324,0.162
-5.0,-0.2973,0.01205,0.00544,-0.0602,0.926,0.1766
-4.75,-0.2689,0.01173,0.00517,-0.0602,0.9192,0.1924
-4.5,-0.2424,0.01143,0.00492,-0.0598,0.9105,0.2092
-4.25,-0.2141,0.01113,0.00467,-0.0597,0.9033,0.2278
-4.0,-0.1885,0.01087,0.00447,-0.059,0.893,0.2471
-3.75,-0.1612,0.01061,0.00426,-0.0587,0.8843,0.2682
-3.5,-0.1349,0.01039,0.00408,-0.0582,0.8738,0.2902
-3.25,-0.1084,0.01015,0.00391,-0.0577,0.8632,0.3135
-3.0,-0.0815,0.00992,0.00372,-0.0573,0.8528,0.339
-2.5,-0.0292,0.00949,0.00345,-0.0563,0.8289,0.3962
-2.25,-0.0031,0.00928,0.00331,-0.0558,0.8167,0.4312
-2.0,0.0225,0.00908,0.00323,-0.0552,0.8032,0.471
-1.75,0.0483,0.0089,0.00315,-0.0545,0.7901,0.5141
-1.5,0.0741,0.00874,0.00308,-0.0539,0.7771,0.5571
-1.25,0.0996,0.0086,0.00304,-0.0532,0.7629,0.5985
-1.0,0.1251,0.00849,0.00302,-0.0524,0.7485,0.6382
-0.75,0.1508,0.0084,0.00301,-0.0517,0.7344,0.6761
-0.5,0.1765,0.00835,0.00301,-0.0509,0.7203,0.7122
-0.25,0.202,0.00832,0.00301,-0.0501,0.706,0.747
0.0,0.2274,0.00829,0.00306,-0.0492,0.6912,0.78
0.25,0.2529,0.0083,0.00311,-0.0483,0.677,0.8111
0.5,0.2783,0.00834,0.00316,-0.0473,0.6631,0.841
0.75,0.3039,0.00843,0.00323,-0.0464,0.6497,0.8678
1.0,0.3301,0.00852,0.00332,-0.0456,0.6355,0.892
1.25,0.3573,0.00864,0.00343,-0.045,0.6222,0.9135
1.5,0.3864,0.0088,0.00353,-0.0448,0.6092,0.9319
1.75,0.4187,0.00899,0.00363,-0.0454,0.5962,0.9465
2.0,0.4538,0.00915,0.00375,-0.0467,0.5828,0.9583
2.25,0.4899,0.00934,0.00387,-0.0482,0.5701,0.9689
2.5,0.5332,0.00954,0.00397,-0.0514,0.5572,0.9744
2.75,0.5731,0.0097,0.00409,-0.0539,0.544,0.9819
3.0,0.6171,0.00985,0.00418,-0.0573,0.5308,0.9869
3.25,0.6583,0.01002,0.00428,-0.0601,0.5182,0.9932
3.5,0.7039,0.01017,0.00435,-0.064,0.5048,0.9981
3.75,0.734,0.01025,0.00442,-0.0646,0.4926,1.0
4.0,0.7549,0.01037,0.00449,-0.0634,0.4819,1.0
4.25,0.7756,0.01049,0.00456,-0.0621,0.4705,1.0
4.5,0.7966,0.01061,0.00466,-0.0608,0.4592,1.0
4.75,0.8169,0.01077,0.00477,-0.0593,0.4481,1.0
5.0,0.8376,0.01091,0.00488,-0.0579,0.4361,1.0
5.25,0.8582,0.01107,0.00501,-0.0565,0.4242,1.0
5.5,0.8783,0.01126,0.00516,-0.055,0.4122,1.0
5.75,0.8987,0.01144,0.0053,-0.0535,0.3992,1.0
6.0,0.9193,0.01162,0.00547,-0.0521,0.3859,1.0
6.25,0.9395,0.01184,0.00565,-0.0506,0.3722,1.0
6.5,0.9593,0.01208,0.00584,-0.0491,0.3581,1.0
6.75,0.9788,0.01235,0.00605,-0.0475,0.3434,1.0
7.25,1.0183,0.01295,0.00655,-0.0445,0.3121,1.0
7.5,1.038,0.01329,0.00683,-0.043,0.2958,1.0
7.75,1.0574,0.01366,0.00714,-0.0416,0.2793,1.0
8.0,1.0764,0.01406,0.00748,-0.0401,0.2624,1.0
8.25,1.095,0.0145,0.00785,-0.0385,0.2456,1.0
8.5,1.113,0.01497,0.00826,-0.0369,0.2288,1.0
8.75,1.1306,0.01547,0.00869,-0.0353,0.2124,1.0
9.0,1.1473,0.016,0.00915,-0.0335,0.1963,1.0
9.25,1.1623,0.01655,0.00965,-0.0315,0.1813,1.0
9.5,1.1757,0.01716,0.01019,-0.0292,0.1673,1.0
9.75,1.1891,0.0178,0.01078,-0.027,0.1542,1.0
10.0,1.2028,0.01846,0.01141,-0.025,0.1422,1.0
10.25,1.2162,0.01917,0.01209,-0.023,0.1313,1.0
10.5,1.2287,0.01995,0.01285,-0.021,0.1218,1.0
10.75,1.2393,0.02086,0.01372,-0.0189,0.1134,1.0
11.0,1.2517,0.02171,0.01456,-0.0171,0.1057,1.0
11.25,1.2627,0.02267,0.01553,-0.0153,0.0992,1.0
11.5,1.2717,0.02378,0.01663,-0.0134,0.0935,1.0
11.75,1.2828,0.02481,0.01771,-0.0118,0.0883,1.0
12.0,1.2905,0.02611,0.01899,-0.0101,0.0838,1.0
12.25,1.2996,0.02737,0.0203,-0.0086,0.0797,1.0
12.5,1.3081,0.02872,0.02168,-0.0073,0.076,1.0
12.75,1.3117,0.0305,0.02347,-0.0057,0.073,1.0
13.0,1.3215,0.03187,0.02492,-0.0047,0.0699,1.0
13.25,1.327,0.03363,0.02671,-0.0037,0.0673,1.0
13.5,1.3285,0.0358,0.02889,-0.0026,0.065,1.0
13.75,1.3363,0.03749,0.0307,-0.0019,0.0626,1.0
14.0,1.3413,0.0395,0.03276,-0.0013,0.0606,1.0
14.25,1.3412,0.04201,0.03528,-0.0006,0.0588,1.0
14.5,1.3435,0.04436,0.03771,-0.0001,0.0572,1.0
14.75,1.348,0.04659,0.04003,0.0001,0.0554,1.0
15.0,1.3509,0.04904,0.04255,0.0003,0.0539,1.0
15.25,1.3508,0.05181,0.04535,0.0004,0.0526,1.0
15.5,1.3494,0.05472,0.04829,0.0006,0.0513,1.0
15.75,1.3523,0.05736,0.05106,0.0004,0.05,1.0
16.0,1.3539,0.06016,0.05395,0.0002,0.0488,1.0
16.25,1.3547,0.06307,0.05692,-0.0002,0.0477,1.0
16.5,1.3545,0.0661,0.05999,-0.0005,0.0467,1.0
16.75,1.3536,0.06899,0.06286,-0.0004,0.0456,1.0
17.0,1.3537,0.07226,0.06628,-0.0012,0.0448,1.0
17.25,1.3533,0.07552,0.06966,-0.0019,0.0438,1.0
17.5,1.3529,0.07881,0.07304,-0.0026,0.0428,1.0
17.75,1.3525,0.0821,0.07637,-0.0034,0.042,1.0
18.0,1.3528,0.08523,0.07954,-0.0041,0.0412,1.0
18.25,1.3556,0.0876,0.08187,-0.004,0.0403,1.0
18.5,1.3522,0.09154,0.08597,-0.0053,0.0397,1.0
18.75,1.3489,0.09546,0.09003,-0.0066,0.0391,1.0
19.0,1.3465,0.09925,0.09393,-0.0079,0.0384,1.0
19.25,1.3447,0.10293,0.0977,-0.0093,0.0377,1.0
