0,1,2,3,4,5,6
-18.75,-1.0713,0.09785,0.09448,-0.0399,1.0,0.0235
-18.5,-1.0885,0.09139,0.08792,-0.0434,1.0,0.0236
-18.25,-1.1059,0.08498,0.0814,-0.0469,1.0,0.0238
-18.0,-1.1237,0.07867,0.07497,-0.0504,1.0,0.0239
-17.75,-1.1408,0.07254,0.06872,-0.0537,1.0,0.024
-17.5,-1.1569,0.06668,0.06273,-0.0569,1.0,0.0241
-17.25,-1.1702,0.06119,0.05712,-0.06,1.0,0.0243
-17.0,-1.1806,0.05614,0.05195,-0.0629,1.0,0.0244
-16.75,-1.196,0.05065,0.04634,-0.0659,1.0,0.0246
-16.5,-1.2088,0.04557,0.04116,-0.0687,1.0,0.0248
-16.25,-1.2165,0.04127,0.03676,-0.071,1.0,0.025
-16.0,-1.2197,0.03775,0.03315,-0.0728,1.0,0.0253
-15.75,-1.2192,0.03488,0.0302,-0.0739,1.0,0.0256
-15.5,-1.216,0.03253,0.02776,-0.0745,1.0,0.0259
-15.25,-1.2113,0.03054,0.0257,-0.0747,1.0,0.0262
-15.0,-1.2055,0.02884,0.02392,-0.0743,1.0,0.0266
-14.75,-1.1985,0.0274,0.0224,-0.0736,1.0,0.027
-14.5,-1.1908,0.02618,0.0211,-0.0724,1.0,0.0274
-14.25,-1.1821,0.02516,0.01999,-0.071,1.0,0.0277
-14.0,-1.1727,0.02433,0.01908,-0.0692,1.0,0.028
-13.75,-1.1785,0.02315,0.01785,-0.065,1.0,0.0285
-13.5,-1.1836,0.02244,0.01711,-0.06,1.0,0.0289
-13.25,-1.1799,0.02183,0.01647,-0.0563,1.0,0.0293
-13.0,-1.1739,0.02134,0.01594,-0.0529,1.0,0.0298
-12.75,-1.1667,0.02088,0.01545,-0.0496,1.0,0.0304
-12.5,-1.1586,0.02044,0.01496,-0.0463,1.0,0.0309
-12.25,-1.1491,0.02002,0.01448,-0.0434,1.0,0.0315
-11.5,-1.0671,0.01802,0.01238,-0.0453,0.9957,0.0341
-11.25,-1.0349,0.01753,0.01185,-0.0466,0.9943,0.0352
-11.0,-1.0013,0.01714,0.0114,-0.0482,0.9933,0.0362
-10.75,-0.974,0.01641,0.01066,-0.0487,0.9905,0.0376
-10.5,-0.9428,0.01595,0.0102,-0.0498,0.9882,0.039
-10.25,-0.9099,0.01555,0.00976,-0.0511,0.9862,0.0404
-10.0,-0.8771,0.01502,0.0092,-0.0525,0.9846,0.0419
-9.75,-0.8432,0.01453,0.00872,-0.0541,0.9833,0.0437
-9.5,-0.8076,0.01418,0.00834,-0.056,0.9823,0.0456
-9.25,-0.7766,0.01371,0.00786,-0.0569,0.9796,0.0477
-9.0,-0.7458,0.01332,0.00748,-0.0577,0.9762,0.0499
-8.75,-0.713,0.01301,0.00714,-0.0588,0.9735,0.0519
-8.5,-0.681,0.01253,0.00668,-0.0599,0.9708,0.055
-8.25,-0.6507,0.01223,0.00637,-0.0604,0.9671,0.0577
-8.0,-0.625,0.01187,0.00601,-0.06,0.9606,0.0608
-7.75,-0.5965,0.01156,0.00571,-0.0601,0.9558,0.0641
-7.5,-0.5711,0.01127,0.00541,-0.0595,0.9489,0.0676
-7.25,-0.545,0.01099,0.00513,-0.0591,0.9423,0.0717
-7.0,-0.5187,0.01072,0.00486,-0.0587,0.936,0.0761
-6.75,-0.4929,0.01048,0.00462,-0.0582,0.9284,0.0808
-6.5,-0.4662,0.01021,0.00436,-0.0579,0.9219,0.0865
-6.0,-0.4136,0.00976,0.00392,-0.0571,0.9056,0.0994
-5.75,-0.387,0.00955,0.00373,-0.0567,0.8968,0.1071
-5.25,-0.3333,0.00915,0.00335,-0.0562,0.8788,0.125
-5.0,-0.3064,0.00896,0.00317,-0.0558,0.8694,0.1357
-4.75,-0.2793,0.00878,0.00301,-0.0556,0.8589,0.147
-4.5,-0.2521,0.00862,0.00286,-0.0554,0.8488,0.1594
-4.25,-0.2249,0.00847,0.00272,-0.0551,0.8374,0.1725
-3.75,-0.1705,0.00819,0.00246,-0.0546,0.8145,0.203
-3.5,-0.1432,0.00805,0.00236,-0.0544,0.8019,0.2198
-3.25,-0.1159,0.00793,0.00226,-0.0542,0.7897,0.2375
-2.75,-0.0614,0.00771,0.00208,-0.0538,0.7631,0.2762
-2.5,-0.0341,0.0076,0.002,-0.0536,0.7496,0.2976
-2.25,-0.0069,0.00751,0.00194,-0.0534,0.7359,0.3199
-2.0,0.0202,0.00743,0.00188,-0.0531,0.7219,0.3439
-1.75,0.0473,0.00734,0.00182,-0.0529,0.7073,0.3693
-1.5,0.0744,0.00724,0.00178,-0.0527,0.693,0.3987
-1.25,0.1013,0.00713,0.00174,-0.0524,0.6787,0.4338
-1.0,0.1279,0.00703,0.00172,-0.0521,0.6644,0.4731
-0.75,0.1545,0.00695,0.00171,-0.0518,0.6499,0.513
-0.5,0.1814,0.00687,0.0017,-0.0515,0.6355,0.5513
-0.25,0.2083,0.00681,0.00171,-0.0512,0.6218,0.5882
0.0,0.235,0.00677,0.00173,-0.0508,0.6081,0.623
0.25,0.2616,0.00675,0.00175,-0.0505,0.5945,0.6563
0.75,0.3152,0.00669,0.00182,-0.0498,0.5687,0.7221
1.0,0.3416,0.0067,0.00187,-0.0493,0.5563,0.7531
1.25,0.3683,0.0067,0.00193,-0.0489,0.5441,0.7843
1.5,0.3947,0.0067,0.002,-0.0484,0.5329,0.814
1.75,0.4208,0.00675,0.00207,-0.0478,0.5215,0.8429
2.0,0.4471,0.00678,0.00215,-0.0473,0.5107,0.8692
2.25,0.473,0.00685,0.00224,-0.0466,0.5003,0.8937
2.5,0.4991,0.00693,0.00234,-0.046,0.4897,0.9154
2.75,0.5255,0.00703,0.00244,-0.0454,0.4798,0.9341
3.0,0.5527,0.00717,0.00254,-0.0451,0.4691,0.9494
3.25,0.5831,0.00729,0.00265,-0.0454,0.4589,0.9611
3.5,0.614,0.00745,0.00276,-0.0459,0.4482,0.9709
3.75,0.6474,0.0076,0.00287,-0.047,0.4369,0.9787
4.0,0.6835,0.00776,0.00299,-0.0488,0.4254,0.9835
4.25,0.7224,0.00796,0.00312,-0.0512,0.4126,0.9868
4.5,0.7608,0.00814,0.00325,-0.0535,0.3987,0.9912
4.75,0.8007,0.00833,0.00339,-0.0561,0.3841,0.9944
5.0,0.8396,0.00852,0.00351,-0.0586,0.3686,0.997
5.25,0.876,0.00873,0.00365,-0.0605,0.3525,0.9993
5.5,0.9016,0.00892,0.00378,-0.0602,0.3378,1.0
5.75,0.9215,0.00911,0.00391,-0.0587,0.3239,1.0
6.0,0.9412,0.00933,0.00406,-0.0571,0.3091,1.0
6.25,0.9607,0.00956,0.00423,-0.0554,0.2938,1.0
6.5,0.9803,0.00981,0.0044,-0.0539,0.2786,1.0
6.75,1.0,0.01006,0.0046,-0.0523,0.2633,1.0
