0,1,2,3,4,5,6
-18.75,-1.1177,0.09155,0.08822,-0.0426,1.0,0.0219
-18.5,-1.1424,0.08413,0.0807,-0.0466,1.0,0.022
-18.25,-1.1683,0.07673,0.07318,-0.0506,1.0,0.0221
-18.0,-1.1944,0.06941,0.06574,-0.0545,1.0,0.0221
-17.75,-1.218,0.06244,0.05864,-0.0584,1.0,0.0222
-17.5,-1.2372,0.05609,0.05216,-0.062,1.0,0.0223
-17.25,-1.2512,0.05051,0.04646,-0.0653,1.0,0.0225
-17.0,-1.2606,0.04571,0.04154,-0.0681,1.0,0.0226
-16.75,-1.2654,0.04166,0.03739,-0.0704,1.0,0.0228
-16.5,-1.267,0.03823,0.03386,-0.0722,1.0,0.0231
-16.25,-1.2659,0.03534,0.03087,-0.0735,1.0,0.0234
-16.0,-1.2627,0.03289,0.02832,-0.0743,1.0,0.0237
-15.75,-1.2577,0.03083,0.02617,-0.0746,1.0,0.0239
-15.5,-1.2509,0.02911,0.02436,-0.0745,1.0,0.0242
-15.25,-1.2421,0.02772,0.02288,-0.074,1.0,0.0244
-15.0,-1.2446,0.0257,0.02078,-0.0726,1.0,0.0248
-14.75,-1.2414,0.02433,0.01935,-0.0709,1.0,0.0252
-14.5,-1.2352,0.02332,0.01829,-0.0688,1.0,0.0256
-14.25,-1.229,0.02255,0.01748,-0.0661,1.0,0.0259
-14.0,-1.227,0.02197,0.01685,-0.0623,1.0,0.0263
-13.75,-1.2231,0.02143,0.01627,-0.0586,1.0,0.0267
-13.5,-1.2167,0.02094,0.01573,-0.0552,1.0,0.0271
-13.25,-1.2096,0.02048,0.01522,-0.0519,1.0,0.0275
-13.0,-1.2011,0.02009,0.01477,-0.0487,1.0,0.0278
-12.75,-1.195,0.01954,0.01418,-0.0452,1.0,0.0283
-12.0,-1.1141,0.01772,0.01228,-0.0467,0.9962,0.0308
-11.75,-1.0824,0.01726,0.01177,-0.048,0.9949,0.0316
-11.5,-1.0514,0.01664,0.01112,-0.0492,0.9937,0.0326
-11.25,-1.0215,0.01607,0.01053,-0.0502,0.9922,0.0337
-11.0,-0.9917,0.01564,0.01008,-0.0509,0.9898,0.0348
-10.75,-0.9599,0.01527,0.00968,-0.052,0.9878,0.0359
-10.5,-0.9284,0.01474,0.00913,-0.0532,0.986,0.0373
-10.25,-0.8955,0.01428,0.00868,-0.0546,0.9846,0.0388
-10.0,-0.8612,0.01391,0.00829,-0.0562,0.9835,0.0403
-9.75,-0.8268,0.01348,0.00783,-0.0578,0.9825,0.0418
-9.5,-0.7964,0.01306,0.00742,-0.0586,0.9799,0.0438
