Alpha,CL_2D,CL_Prandtl,CL_Kuchemann,CD
-18.75,-1.1856,-1.2513634792654749,-1.2397435860013468,0.23730738095610193
-18.5,-1.2195,-1.2891885383145723,-1.276819849493394,0.24092144589318681
-18.25,-1.251,-1.324443588768654,-1.311354200950308,0.24437096478001458
-18.0,-1.2767,-1.353284537347445,-1.3395891365905424,0.24725049583669323
-17.75,-1.2951,-1.3739761323522095,-1.359836802724991,0.2493480738886375
-17.5,-1.3073,-1.3877153130468627,-1.3732769773296165,0.25075540729268697
-17.25,-1.3135,-1.3947035664274727,-1.380111844693486,0.25147566627774315
-17.0,-1.3147,-1.3960566027155894,-1.3814350815790257,0.2516154648616174
-16.75,-1.3179,-1.3996654468540561,-1.384964283129527,0.25198888520193385
-16.5,-1.3246,-1.407224986923448,-1.3923562339499995,0.2527736742140105
-16.25,-1.3249,-1.407563585372624,-1.3926873018467987,0.25280890710610154
-16.0,-1.3205,-1.4025984334307928,-1.3878323697922124,0.25229295767155946
-15.75,-1.3135,-1.3947035664274727,-1.380111844693486,0.25147566627774315
-15.5,-1.305,-1.3851239331984813,-1.3707422529786735,0.2504890810258168
-15.25,-1.2957,-1.3746514611581873,-1.360497513464311,0.24941697849466093
-15.0,-1.2861,-1.363850771491748,-1.3499296342588696,0.24831833460501307
-14.75,-1.2768,-1.3533968949756532,-1.3396991043151512,0.2472618145999762
-14.5,-1.2695,-1.3451975619116974,-1.331673583098961,0.24643787467941303
-14.25,-1.2662,-1.3414928592083843,-1.3280470201924706,0.24606695922773225
-14.0,-1.2612,-1.3358818607270988,-1.322553903158242,0.2455068056674949
-13.75,-1.26,-1.3345356130733157,-1.321235855353819,0.2453726986019505
-13.5,-1.2546,-1.3284793753278472,-1.3153060783983455,0.24477079660227544
-13.25,-1.2467,-1.3196248527214467,-1.3066352730995936,0.24389489365127826
-12.5,-1.1611,-1.224101389980719,-1.2130055810098186,0.23475886842818222
-12.25,-1.1317,-1.1914691722125839,-1.1809835872885928,0.23177089577346827
-12.0,-1.1012,-1.1577105191693857,-1.1478367212254823,0.22875211046192695
-11.75,-1.0694,-1.1226150089038478,-1.1133563193865137,0.22569247254884084
-11.5,-1.0399,-1.0901505927000121,-1.0814420324879086,0.2229342869679311
-11.25,-1.0094,-1.0566791378787517,-1.0485189009693106,0.22016372100485992
-11.0,-0.9796,-1.024067260379761,-1.0164229451006166,0.21753639380274697
-10.75,-0.9475,-0.9890389714129394,-0.9819287862238365,0.21479436255937726
-10.5,-0.9141,-0.9527023793176315,-0.9461245019031871,0.21203825633302245
-10.25,-0.881,-0.9168026251668957,-0.9107290274928805,0.20940447475408697
-10.0,-0.8486,-0.8817680945718076,-0.8761660356725521,0.2069204621111904
-9.75,-0.8211,-0.8521139322199954,-0.8468952070041499,0.20488513481934664
-9.5,-0.7923,-0.8211382604188028,-0.8163045894774368,0.2028254647617614
-9.25,-0.764,-0.7907801007062155,-0.7863086680677855,0.2008731813323029
-9.0,-0.7374,-0.762317361868244,-0.7581720196303827,0.19910290459161648
