Time[ms]; Pressure [Pa]; Approx altitude [m]; Temperature [degC]; accX [m/s2]; accY [m/s2]; accZ [m/s2]; rotX [rad/s]; rotY [rad/s]; rotZ [rad/s]; magX [uT]; magY [uT]; magZ [uT]; roll [deg]; pitch [deg]; heading [deg]; tempMPU [degC]; Satellites []; Date [yyyy-mm-dd]; Time [hh:mm:ss]; Latitude [deg]; Longitude [deg]; Relative X [m]; Relative Y [m]; Altitude [m]; delta pressure [Pa]; speed [m/s]; tempPitot [degC]; Angle [deg]; Ch0   ; Ch1   ; Ch2   ; Ch3   ; Ch4   ; Ch5   ; Ch6   ; Ch7   ; Ch8   ; Ch9   ; 
  795234;        101878; -45.96             ;               33.3; 0.397      ; -0.503     ; -10.276    ; 0.021       ; -0.001      ; -0.009      ; 14.760   ; 13.089   ; 15.626   ; -0.7      ; 2.8        ;         232.5;           35.2;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 48.92              ;        9.01;             29.3;       17.49; 102.00; 206.00; 104.00; 205.00; 102.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795349;        101880; -46.16             ;               33.3; 0.321      ; -0.565     ; -10.324    ; 0.020       ; -0.002      ; -0.009      ; 14.760   ; 13.089   ; 15.626   ; -0.6      ; 2.8        ;         232.2;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 102.00; 206.00; 104.00; 205.00; 102.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795549;        101878; -46.01             ;               33.3; 0.340      ; -0.517     ; -10.348    ; 0.020       ; 0.000       ; -0.011      ; 14.760   ; 13.089   ; 15.626   ; -0.6      ; 2.7        ;         231.9;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795749;        101882; -46.33             ;               33.4; 0.340      ; -0.498     ; -10.391    ; 0.021       ; -0.003      ; -0.007      ; 14.057   ; 13.089   ; 15.287   ; -0.5      ; 2.6        ;         231.7;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  795949;        101884; -46.47             ;               33.4; 0.297      ; -0.522     ; -10.357    ; 0.025       ; -0.001      ; -0.007      ; 14.057   ; 13.089   ; 15.287   ; -0.5      ; 2.5        ;         231.5;           35.1;            12; 2025-05-13       ; 15:42:16       ;      51.935627;        4.194643; -11955.328125 ; -6888.981934  ;          5.0; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796149;        101882; -46.30             ;               33.3; 0.374      ; -0.546     ; -10.262    ; 0.025       ; -0.001      ; -0.007      ; 14.057   ; 13.089   ; 15.287   ; -0.4      ; 2.4        ;         231.3;           35.1;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796349;        101880; -46.12             ;               33.3; 0.316      ; -0.479     ; -10.415    ; 0.019       ; -0.001      ; -0.012      ; 14.057   ; 13.089   ; 15.287   ; -0.4      ; 2.3        ;         231.1;           35.1;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 48.92              ;        9.01;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796549;        101884; -46.52             ;               33.4; 0.364      ; -0.560     ; -10.381    ; 0.020       ; -0.001      ; -0.011      ; 14.057   ; 13.089   ; 15.287   ; -0.3      ; 2.2        ;         231.0;           35.2;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 47.87              ;        8.92;             29.3;       17.49; 617.00; 102.00; 205.00; 826.00; 720.00; 115.00; 206.00; 103.00; 205.00; 207.00; 
  796749;        101884; -46.44             ;               33.3; 0.369      ; -0.555     ; -10.329    ; 0.021       ; -0.003      ; -0.006      ; 14.057   ; 13.089   ; 15.287   ; -0.3      ; 2.1        ;         230.8;           35.2;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 46.82              ;        8.82;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  796949;        101880; -46.13             ;               33.3; 0.345      ; -0.469     ; -10.176    ; 0.025       ; -0.001      ; -0.009      ; 14.057   ; 13.089   ; 15.287   ; -0.2      ; 2.1        ;         230.6;           35.1;            12; 2025-05-13       ; 15:42:17       ;      51.935627;        4.194643; -11955.270508 ; -6888.963379  ;          5.1; 46.82              ;        8.82;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  797149;        101883; -46.37             ;               33.3; 0.350      ; -0.498     ; -10.305    ; 0.021       ; -0.004      ; -0.010      ; 14.057   ; 13.089   ; 15.287   ; -0.2      ; 2.0        ;         230.4;           35.1;            12; 2025-05-13       ; 15:42:18       ;      51.935627;        4.194644; -11955.213867 ; -6888.907715  ;          5.3; 46.82              ;        8.82;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  797349;        101880; -46.11             ;               33.3; 0.350      ; -0.474     ; -10.357    ; 0.021       ; -0.001      ; -0.006      ; 14.057   ; 13.089   ; 15.287   ; -0.1      ; 1.9        ;         230.2;           35.1;            12; 2025-05-13       ; 15:42:18       ;      51.935627;        4.194644; -11955.213867 ; -6888.907715  ;          5.3; 47.87              ;        8.92;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  797549;        101881; -46.23             ;               33.3; 0.359      ; -0.517     ; -10.367    ; 0.020       ; -0.003      ; -0.014      ; 14.057   ; 13.089   ; 15.287   ; -0.1      ; 1.8        ;         230.0;           35.1;            12; 2025-05-13       ; 15:42:18       ;      51.935627;        4.194644; -11955.213867 ; -6888.907715  ;          5.3; 48.92              ;        9.01;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  797749;        101882; -46.30             ;               33.3; 0.369      ; -0.517     ; -10.305    ; 0.021       ; 0.003       ; -0.009      ; 14.057   ; 13.089   ; 15.287   ; -0.0      ; 1.7        ;         229.9;           35.2;            12; 2025-05-13       ; 15:42:18       ;      51.935627;        4.194644; -11955.213867 ; -6888.907715  ;          5.3; 47.87              ;        8.92;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  797949;        101882; -46.30             ;               33.3; 0.316      ; -0.522     ; -10.334    ; 0.026       ; -0.002      ; -0.009      ; 14.057   ; 13.089   ; 15.287   ; 0.0       ; 1.7        ;         229.7;           35.2;            12; 2025-05-13       ; 15:42:18       ;      51.935627;        4.194644; -11955.213867 ; -6888.907715  ;          5.3; 47.87              ;        8.92;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  798149;        101880; -46.14             ;               33.3; 0.354      ; -0.551     ; -10.295    ; 0.021       ; -0.004      ; -0.009      ; 14.057   ; 13.089   ; 15.287   ; 0.1       ; 1.6        ;         229.5;           35.1;            12; 2025-05-13       ; 15:42:19       ;      51.935627;        4.194644; -11955.190430 ; -6888.870605  ;          5.3; 47.87              ;        8.92;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  798349;        101882; -46.28             ;               33.3; 0.364      ; -0.532     ; -10.338    ; 0.022       ; 0.002       ; -0.009      ; 14.057   ; 13.089   ; 15.287   ; 0.1       ; 1.5        ;         229.3;           35.1;            12; 2025-05-13       ; 15:42:19       ;      51.935627;        4.194644; -11955.190430 ; -6888.870605  ;          5.3; 44.72              ;        8.62;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  798549;        101881; -46.25             ;               33.4; 0.397      ; -0.512     ; -10.334    ; 0.022       ; -0.001      ; -0.009      ; 14.057   ; 13.089   ; 15.287   ; 0.2       ; 1.4        ;         229.2;           35.1;            12; 2025-05-13       ; 15:42:19       ;      51.935627;        4.194644; -11955.190430 ; -6888.870605  ;          5.3; 47.87              ;        8.92;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  798749;        101884; -46.44             ;               33.4; 0.359      ; -0.536     ; -10.391    ; 0.021       ; -0.001      ; -0.011      ; 13.530   ; 13.620   ; 14.777   ; 0.3       ; 1.3        ;         229.1;           35.1;            12; 2025-05-13       ; 15:42:19       ;      51.935627;        4.194644; -11955.190430 ; -6888.870605  ;          5.3; 46.82              ;        8.82;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  798949;        101881; -46.25             ;               33.4; 0.378      ; -0.498     ; -10.271    ; 0.017       ; 0.000       ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 0.3       ; 1.2        ;         229.0;           35.1;            12; 2025-05-13       ; 15:42:19       ;      51.935627;        4.194644; -11955.190430 ; -6888.870605  ;          5.3; 44.72              ;        8.62;             29.3;       17.49; 102.00; 102.00; 102.00; 205.00; 102.00; 102.00; 308.00; 411.00; 308.00; 411.00; 
  799149;        101883; -46.37             ;               33.3; 0.354      ; -0.546     ; -10.305    ; 0.018       ; 0.000       ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 0.4       ; 1.1        ;         228.9;           35.1;            12; 2025-05-13       ; 15:42:20       ;      51.935631;        4.194645; -11955.144531 ; -6888.833496  ;          5.3; 47.87              ;        8.92;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 410.00; 
  799349;        101882; -46.32             ;               33.3; 0.369      ; -0.522     ; -10.338    ; 0.017       ; 0.001       ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 0.5       ; 1.0        ;         228.8;           35.1;            12; 2025-05-13       ; 15:42:20       ;      51.935631;        4.194645; -11955.144531 ; -6888.833496  ;          5.3; 44.72              ;        8.62;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 410.00; 
  799549;        101882; -46.28             ;               33.3; 0.340      ; -0.493     ; -10.415    ; 0.019       ; 0.003       ; -0.011      ; 13.530   ; 13.620   ; 14.777   ; 0.5       ; 0.9        ;         228.7;           35.1;            12; 2025-05-13       ; 15:42:20       ;      51.935631;        4.194645; -11955.144531 ; -6888.833496  ;          5.3; 48.92              ;        9.01;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 410.00; 
  799749;        101884; -46.46             ;               33.3; 0.292      ; -0.508     ; -10.362    ; 0.022       ; 0.001       ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 0.6       ; 0.8        ;         228.6;           35.1;            12; 2025-05-13       ; 15:42:20       ;      51.935631;        4.194645; -11955.144531 ; -6888.833496  ;          5.3; 48.92              ;        9.01;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  799949;        101880; -46.17             ;               33.3; 0.359      ; -0.488     ; -10.353    ; 0.020       ; -0.002      ; -0.009      ; 13.530   ; 13.620   ; 14.777   ; 0.7       ; 0.8        ;         228.5;           35.1;            12; 2025-05-13       ; 15:42:20       ;      51.935631;        4.194645; -11955.144531 ; -6888.833496  ;          5.3; 47.87              ;        8.92;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  800149;        101881; -46.23             ;               33.3; 0.330      ; -0.522     ; -10.338    ; 0.019       ; 0.000       ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 0.7       ; 0.7        ;         228.4;           35.1;            12; 2025-05-13       ; 15:42:21       ;      51.935627;        4.194646; -11955.087891 ; -6888.852051  ;          5.5; 44.72              ;        8.62;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  800349;        101883; -46.38             ;               33.3; 0.340      ; -0.488     ; -10.343    ; 0.019       ; 0.000       ; -0.009      ; 13.530   ; 13.620   ; 14.777   ; 0.8       ; 0.6        ;         228.3;           35.0;            12; 2025-05-13       ; 15:42:21       ;      51.935627;        4.194646; -11955.087891 ; -6888.852051  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  800549;        101882; -46.29             ;               33.3; 0.378      ; -0.536     ; -10.334    ; 0.019       ; 0.000       ; -0.014      ; 13.530   ; 13.620   ; 14.777   ; 0.8       ; 0.5        ;         228.2;           35.2;            12; 2025-05-13       ; 15:42:21       ;      51.935627;        4.194646; -11955.087891 ; -6888.852051  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  800749;        101880; -46.28             ;               33.3; 0.359      ; -0.517     ; -10.319    ; 0.023       ; 0.002       ; -0.007      ; 13.530   ; 13.620   ; 14.777   ; 0.9       ; 0.5        ;         228.1;           35.1;            12; 2025-05-13       ; 15:42:21       ;      51.935627;        4.194646; -11955.087891 ; -6888.852051  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  800949;        101880; -46.14             ;               33.3; 0.359      ; -0.469     ; -10.362    ; 0.019       ; 0.001       ; -0.007      ; 13.530   ; 13.620   ; 14.777   ; 0.9       ; 0.4        ;         228.0;           35.2;            12; 2025-05-13       ; 15:42:21       ;      51.935627;        4.194646; -11955.087891 ; -6888.852051  ;          5.5; 44.72              ;        8.62;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  801149;        101884; -46.46             ;               33.3; 0.359      ; -0.493     ; -10.334    ; 0.019       ; 0.001       ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 0.9       ; 0.3        ;         227.9;           35.1;            12; 2025-05-13       ; 15:42:22       ;      51.935627;        4.194646; -11955.076172 ; -6888.889160  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 101.00; 205.00; 102.00; 206.00; 102.00; 103.00; 205.00; 101.00; 205.00; 205.00; 
  801349;        101876; -45.79             ;               33.3; 0.321      ; -0.551     ; -10.343    ; 0.020       ; 0.002       ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 1.0       ; 0.3        ;         227.8;           35.2;            12; 2025-05-13       ; 15:42:22       ;      51.935627;        4.194646; -11955.076172 ; -6888.889160  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 412.00; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 
  801549;        101882; -46.29             ;               33.3; 0.374      ; -0.527     ; -10.372    ; 0.021       ; -0.002      ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 1.1       ; 0.2        ;         227.7;           35.2;            12; 2025-05-13       ; 15:42:22       ;      51.935627;        4.194646; -11955.076172 ; -6888.889160  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 412.00; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 
  801749;        101878; -45.99             ;               33.3; 0.350      ; -0.541     ; -10.381    ; 0.020       ; -0.004      ; -0.010      ; 13.530   ; 13.620   ; 14.777   ; 1.1       ; 0.2        ;         227.6;           35.1;            12; 2025-05-13       ; 15:42:22       ;      51.935627;        4.194646; -11955.076172 ; -6888.889160  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 102.00; 412.00; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 
  801949;        101880; -46.15             ;               33.3; 0.330      ; -0.493     ; -10.290    ; 0.021       ; 0.000       ; -0.012      ; 15.638   ; 13.620   ; 16.476   ; 1.1       ; 0.2        ;         227.4;           35.1;            12; 2025-05-13       ; 15:42:22       ;      51.935627;        4.194646; -11955.076172 ; -6888.889160  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 412.00; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 
  802149;        101878; -45.97             ;               33.3; 0.326      ; -0.517     ; -10.338    ; 0.022       ; -0.002      ; -0.011      ; 15.638   ; 13.620   ; 16.476   ; 1.0       ; 0.2        ;         227.2;           35.1;            12; 2025-05-13       ; 15:42:23       ;      51.935627;        4.194646; -11955.065430 ; -6888.870605  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  802349;        101880; -46.13             ;               33.3; 0.359      ; -0.450     ; -10.348    ; 0.017       ; 0.000       ; -0.007      ; 15.638   ; 13.620   ; 16.476   ; 1.0       ; 0.2        ;         227.0;           35.1;            12; 2025-05-13       ; 15:42:23       ;      51.935627;        4.194646; -11955.065430 ; -6888.870605  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  802549;        101879; -46.06             ;               33.3; 0.354      ; -0.460     ; -10.367    ; 0.019       ; 0.000       ; -0.006      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         226.8;           35.1;            12; 2025-05-13       ; 15:42:23       ;      51.935627;        4.194646; -11955.065430 ; -6888.870605  ;          5.5; 44.72              ;        8.62;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  802749;        101879; -46.06             ;               33.3; 0.350      ; -0.488     ; -10.377    ; 0.023       ; -0.001      ; -0.007      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         226.7;           35.1;            12; 2025-05-13       ; 15:42:23       ;      51.935627;        4.194646; -11955.065430 ; -6888.870605  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  802949;        101880; -46.18             ;               33.3; 0.302      ; -0.493     ; -10.338    ; 0.023       ; -0.002      ; -0.009      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         226.5;           35.1;            12; 2025-05-13       ; 15:42:23       ;      51.935627;        4.194646; -11955.065430 ; -6888.870605  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  803149;        101880; -46.14             ;               33.3; 0.326      ; -0.508     ; -10.391    ; 0.020       ; -0.002      ; -0.004      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         226.3;           35.2;            12; 2025-05-13       ; 15:42:24       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.5; 42.61              ;        8.41;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  803349;        101880; -46.12             ;               33.3; 0.350      ; -0.517     ; -10.319    ; 0.020       ; -0.002      ; -0.006      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         226.1;           35.1;            12; 2025-05-13       ; 15:42:24       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.5; 44.72              ;        8.62;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  803549;        101881; -46.24             ;               33.3; 0.306      ; -0.508     ; -10.377    ; 0.019       ; 0.004       ; -0.007      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         226.0;           35.1;            12; 2025-05-13       ; 15:42:24       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 205.00; 102.00; 205.00; 103.00; 102.00; 205.00; 102.00; 205.00; 205.00; 
  803749;        101878; -45.98             ;               33.3; 0.330      ; -0.484     ; -10.329    ; 0.020       ; -0.001      ; -0.011      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         225.8;           35.2;            12; 2025-05-13       ; 15:42:24       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  803949;        101881; -46.21             ;               33.3; 0.378      ; -0.503     ; -10.381    ; 0.021       ; -0.001      ; -0.006      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.2        ;         225.6;           35.2;            12; 2025-05-13       ; 15:42:24       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.5; 44.72              ;        8.62;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  804149;        101883; -46.42             ;               33.3; 0.335      ; -0.498     ; -10.305    ; 0.021       ; -0.002      ; -0.010      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.1        ;         225.5;           35.2;            12; 2025-05-13       ; 15:42:25       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.6; 44.72              ;        8.62;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  804349;        101883; -46.38             ;               33.3; 0.350      ; -0.488     ; -10.367    ; 0.019       ; 0.002       ; -0.009      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.1        ;         225.3;           35.1;            12; 2025-05-13       ; 15:42:25       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.6; 47.87              ;        8.92;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  804549;        101881; -46.19             ;               33.3; 0.340      ; -0.464     ; -10.295    ; 0.017       ; -0.002      ; -0.012      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.1        ;         225.2;           35.2;            12; 2025-05-13       ; 15:42:25       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.6; 47.87              ;        8.92;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  804749;        101879; -46.07             ;               33.3; 0.302      ; -0.503     ; -10.401    ; 0.023       ; -0.002      ; -0.006      ; 15.638   ; 13.620   ; 16.476   ; 0.9       ; 0.1        ;         225.1;           35.2;            12; 2025-05-13       ; 15:42:25       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.6; 48.92              ;        9.01;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  804949;        101879; -46.10             ;               33.3; 0.306      ; -0.464     ; -10.386    ; 0.026       ; 0.000       ; -0.012      ; 14.408   ; 13.443   ; 16.985   ; 1.0       ; 0.1        ;         225.0;           35.1;            12; 2025-05-13       ; 15:42:25       ;      51.935627;        4.194646; -11955.041992 ; -6888.870605  ;          5.6; 48.92              ;        9.01;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  805149;        101878; -45.97             ;               33.3; 0.302      ; -0.512     ; -10.314    ; 0.019       ; 0.002       ; -0.011      ; 14.408   ; 13.443   ; 16.985   ; 1.0       ; 0.0        ;         224.9;           35.2;            12; 2025-05-13       ; 15:42:26       ;      51.935627;        4.194647; -11955.019531 ; -6888.852051  ;          5.5; 48.92              ;        9.01;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  805349;        101882; -46.35             ;               33.3; 0.359      ; -0.517     ; -10.324    ; 0.019       ; -0.003      ; -0.006      ; 14.408   ; 13.443   ; 16.985   ; 1.1       ; -0.0       ;         224.9;           35.2;            12; 2025-05-13       ; 15:42:26       ;      51.935627;        4.194647; -11955.019531 ; -6888.852051  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 411.00; 308.00; 411.00; 102.00; 102.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  805549;        101883; -46.43             ;               33.3; 0.326      ; -0.503     ; -10.353    ; 0.019       ; -0.002      ; -0.011      ; 14.408   ; 13.443   ; 16.985   ; 1.1       ; -0.1       ;         224.8;           35.2;            12; 2025-05-13       ; 15:42:26       ;      51.935627;        4.194647; -11955.019531 ; -6888.852051  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 205.00; 102.00; 206.00; 403.00; 104.00; 205.00; 102.00; 205.00; 102.00; 411.00; 
  805749;        101882; -46.30             ;               33.3; 0.287      ; -0.536     ; -10.338    ; 0.020       ; 0.000       ; -0.009      ; 14.408   ; 13.443   ; 16.985   ; 1.2       ; -0.1       ;         224.7;           35.2;            12; 2025-05-13       ; 15:42:26       ;      51.935627;        4.194647; -11955.019531 ; -6888.852051  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 205.00; 102.00; 206.00; 403.00; 104.00; 205.00; 100.00; 409.00; 102.00; 102.00; 
  805949;        101882; -46.29             ;               33.3; 0.335      ; -0.474     ; -10.334    ; 0.021       ; 0.001       ; -0.010      ; 14.408   ; 13.443   ; 16.985   ; 1.2       ; -0.2       ;         224.6;           35.2;            12; 2025-05-13       ; 15:42:26       ;      51.935627;        4.194647; -11955.019531 ; -6888.852051  ;          5.5; 48.92              ;        9.01;             29.3;       17.49; 102.00; 412.00; 411.00; 308.00; 412.00; 102.00; 103.00; 205.00; 102.00; 205.00; 
  806149;        101883; -46.37             ;               33.3; 0.359      ; -0.469     ; -10.310    ; 0.021       ; -0.001      ; -0.007      ; 14.408   ; 13.443   ; 16.985   ; 1.2       ; -0.2       ;         224.6;           35.1;            12; 2025-05-13       ; 15:42:27       ;      51.935627;        4.194646; -11955.041992 ; -6888.889160  ;          5.5; 46.82              ;        8.82;             29.3;       17.49; 102.00; 412.00; 411.00; 308.00; 412.00; 102.00; 103.00; 205.00; 102.00; 205.00; 
  806349;        101883; -46.42             ;               33.3; 0.378      ; -0.512     ; -10.348    ; 0.018       ; -0.003      ; -0.006      ; 14.408   ; 13.443   ; 16.985   ; 1.2       ; -0.3       ;         224.5;           35.1;            12; 2025-05-13       ; 15:42:27       ;      51.935627;        4.194646; -11955.041992 ; -6888.889160  ;          5.5; 47.87              ;        8.92;             29.3;       17.49; 102.00; 412.00; 411.00; 308.00; 412.00; 102.00; 103.00; 205.00; 102.00; 205.00; 
